სცხელა	სცხელოდა	V;ARGSU3S;IPFV;MID;IND;IPFV
ილია	ილია	N;SG;OM;PROPN
იმავდროული	იმავდროულად	ADV
იმათი	იმათი	PRO;3;PL;GEN
იმართება	წარიმართოს	V;ARGSU3S;PST;PASS;PFV;IND
იმიტომ	იმიტომ	CONJ
ინდიკატორი	ინდიკატორებს	N;DAT;PL;INAN
ინიშნება	აღინიშნება	V;ARGSU3S;FUT;PASS;PFV;IND
ინიშნება	აღინიშნა	V;ARGSU3S;PST;PASS;PFV;IND
ინტერესი	ინტერესებისა	N;PL;GEN;INAN
ინტერესი	ინტერესს	N;DAT;INAN;SG
ინფორმაცია	ინფორმაციამ	N;ERG;INAN;SG
ინფორმაცია	ინფორმაციების	N;PL;GEN;INAN
ინფორმაცია	ინფორმაციას	N;DAT;INAN;SG
იპყრობს	იპყრობდნენ	V;ARGOB3;ARGSU3P;IPFV;ACT;IND;IPFV
ირჩევა	გამოირჩა	V;ARGSU3S;PST;ACT;PFV;IND
ირჩევს	აირჩიეს	V;ARGOB3;ARGSU3P;PST;ACT;PFV;IND
ის	იმისა	PRO;3;GEN;SG
ის	იმის	PRO;3;GEN;SG
ის	იმ	PRO;3;GEN;SG
ის	იმით	PRO;INS;3;SG
ის	იმავე	PRO;DAT;3;SG
ის(ი)	ის	PRO;NOM;3;SG
ის(ი)	იმა	PRO;DAT;3;SG
ის(ი)	იმას	PRO;DAT;3;SG
ისე	ისე	ADV
ისინი	ისინი	PRO;NOM;3;PL
ისტორია	ისტორია	N;NOM;INAN;SG
იტანს	მოიტანა	V;ARGOB3;ARGSU3S;PST;IND
იქ	იქვე	ADV
იქ	იქ	ADV
იქმნება	შეიქმნას	V;ARGSU3S;PST;PASS;PFV;IND
იქცევა	იქცა	V;ARGSU3S;PST;ACT;IND;IPFV
იღვრება	იღვრება	V;ARGSU3S;PASS;PRS;IND;IPFV
იყენებს	გამოიყენება	V;ARGSU3S;ACT;PRS;IND;IPFV
იყვანს	მოვიყვან	V;ARGOB3;ARGSU1S;FUT;ACT;PFV;IND
იყვანს	მიგვიყვანოს	V;ARGIO1P;ARGOB3;ARGSU3S;PST;ACT;PFV;IND
იჩნევს	მიიჩნევდა	V;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
იცვამს	იცვამს	V;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
იცის	იციან	V;ARGOB3;ARGSU3P;ACT;PRS;IND
იძახის	იძახის	V;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
იძახის	მეძახიან	V;ARGIO1S;ARGSU3P;ACT;PRS;IND;IPFV
იძენს	იძენს	V;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
იძირება	იძირებიან	V;ARGSU3P;ACT;PRS;IND;IPFV
იძლევა	იძლევა	V;ARGSU3S;ACT;PRS;IND;IPFV
იწვევს	იწვევს	V;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
იწყება	იწყება	V;ARGSU3S;ACT;PRS;IND;IPFV
იწყობს	დაიწყო	V;ARGOB3;ARGSU2S;PST;ACT;PFV;IND
იჭყიტება	იჭყიტება	V;ARGSU3S;ACT;PRS;IND;IPFV
კაბინეტი	კაბინეტს	N;DAT;INAN;SG
კაბინეტი	კაბინეტის	N;GEN;INAN;SG
კავკასია	კავკასია	PRO;DAT;SG;PN
კავკასია	კავკასიის	N;GEN;INAN;SG
კავკასიური	კავკასიური	ADJ;GEN;SG
კალიასკა	კალიასკა	N;NOM;INAN;SG
კამათობს	კამათობენ	V;ARGSU3P;ACT;PRS;IND;IPFV
კანონი	კანონის	N;GEN;INAN;SG
კარგი	კარგი	ADJ;NOM;SG
კარგი	საუკეთესო	ADJ;FRML;RL;SG
კარდინალური	კარდინალური	ADJ;GEN;SG
კაცი	კაცი	N;NOM;ANIM;SG
კედელი	კედლებ	N;DAT;PL;INAN
კეთდება	კეთდება	V;ARGSU3S;ACT;PRS;IND;IPFV
კეთილი	კეთილი	ADJ;NOM;SG
კენ	კენ	ADP;GEN
კერძო	კერძო	ADJ;DAT;SG
კვირა	კვირა	N;DAT;INAN;SG
კვირადღე	კვირადღის	N;GEN;INAN;SG
კვლავ	კვლავ	ADV
კვლევა	კვლევის	N;GEN;INAN;SG
კვლევა-ძიება	კვლევა-ძიებას	N;DAT;INAN;SG
კი	კი	PART
კიდევ	კიდევ	ADV
კითხვა	კითხვები	N;PL;OM;INAN;N
კილო	კილო	N;DAT;INAN;SG
კილომეტრი	კმ-ი	N;NOM;SG
კისერი	კისრის	N;GEN;INAN;SG
კისერი	კისერი	N;NOM;INAN;SG
კლასიკური	კლასიკურ	ADJ;FRML;SG
კლდე	კლდის	N;GEN;INAN;SG
კლება	კლებას	N;DAT;INAN;SG
კლიმატური	კლიმატური	ADJ;INS;SG
კმარობს	კმაროდა	V;ARGSU3S;ACT;IPFV;IND;IPFV
კომენტარი	კომენტარები	N;PL;OM;INAN;N
კომპლექსი	კომპლექსის	N;GEN;INAN;SG
კომპლექსური	კომპლექსურ	ADJ;DAT;SG
კონკრეტული	კონკრეტულ	ADJ;DAT;SG
კონკრეტული	კონკრეტული	ADJ;NOM;SG
კონკურენტი	კონკურენტების	N;PL;GEN;ANIM
კონფლიქტი	კონფლიქტების	N;PL;GEN;INAN
კონფლიქტური	კონფლიქტურ	ADJ;DAT;SG
კონფლიქტურობა	კონფლიქტურობისა	N;GEN;INAN;SG
კონცეფცია	კონცეფცია	N;NOM;INAN;SG
კოპტური	კოპტურ	ADJ;DAT;SG
კორუმპირებულ-კრიმინალური	კორუმპირებულ-კრიმინალური	ADJ;GEN;SG
კოსმოსური	კოსმოსურ	ADJ;DAT;SG
კოხტა	კოხტა	ADJ;NOM;SG
კრებული	კრებულ	N;DAT;INAN;SG
კრიტიკა	კრიტიკა	N;NOM;INAN;SG
კრიტიკა	კრიტიკის	N;GEN;INAN;SG
კრიტიკა	კრიტიკას	N;DAT;INAN;SG
კუთხე	კუთხე	N;DAT;INAN;SG
კულტურა	კულტურის	N;GEN;INAN;SG
კულტუროსანი	კულტუროსან	ADJ;DAT;SG
კურორტი	კურორტად	N;FRML;INAN;SG
ლაგდება	ლაგდებიან	V;ARGSU3P;ACT;PRS;IND;IPFV
ლაზათიანი	ლაზათიანი	ADJ;NOM;SG
ლაზარეთი	ლაზარეთი	N;INS;INAN;SG
ლამაზი	ლამაზი	ADJ;NOM;SG
ლამაზი	ლამაზთა	ADJ;PL;GEN
ლაპარაკობს	ვლაპარაკობ	V;ARGSU1S;ACT;PRS;IND;IPFV
ლაშქრობა	ლაშქრობა	N;DAT;INAN;SG
ლეგიტიმური	ლეგიტიმური	ADJ;NOM;SG
ლევანი	ლევანი	N;SG;OM;PROPN
ლექსი	ლექსის	N;GEN;INAN;SG
ლექსი	ლექსი	N;INS;INAN;SG
ლექსი	ლექსების	N;PL;GEN;INAN
ლიტერატურა	ლიტერატურის	N;GEN;INAN;SG
მაგალითი	მაგალითად	N;FRML;INAN;SG
მაგვარი	მაგვარ	ADJ;DAT;SG
მაგისტრალური	მაგისტრალური	ADJ;NOM;SG
მაგრამ	მაგრამ	CONJ
მაინც	მაინც	PART
მაისი	მაისის	N;GEN;INAN;SG
მალა	მალების	N;PL;GEN;INAN
მამული	მამულ	N;DAT;INAN;SG
მანამდე	მანამდე	ADV
მანქანა	მანქანები	N;PL;OM;INAN;N
მართებლობა	მართებლობის	N;GEN;INAN;SG
მართვა	მართვა	N;DAT;INAN;SG
მართვა	მართვის	N;GEN;INAN;SG
მარტო	მარტო	ADV
მასშტაბური	მასშტაბური	ADJ;GEN;SG
მასწავლებელი	მასწავლებელი	N;NOM;ANIM;SG
მატერიალური	მატერიალურ	ADJ;GEN;SG
მატერიალური	მატერიალური	ADJ;GEN;SG
მატერიალურ-ტექნიკური	მატერიალურ-ტექნიკური	ADJ;GEN;SG
მაქსიმალური	მაქსიმალური	ADJ;NOM;SG
მაღალი	უმაღლესი	ADJ;RL;GEN;SG
მაღალი	უმაღლეს	ADJ;DAT;RL;SG
მაღალკვალიფიციური	მაღალკვალიფიციური	ADJ;NOM;SG
მაღალფარდოვანი	მაღალფარდოვან	ADJ;DAT;SG
მაღლდება	ამაღლდა	V;ARGSU3S;PST;ACT;PFV;IND
მაშინ	მაშინაც	ADV
მაჩვენებელი	მაჩვენებლის	N;GEN;INAN;SG
მაძიებელი	მაძიებელი	N;NOM;ANIM;SG
მახასიათებელი	მახასიათებელი	ADJ;NOM;SG
მდე	მდე	ADP;FRML
მე	მე	PRO;NOM;1;SG
მე	მეც	PRO;NOM;1;SG
მე	ჩემ	PRO;1;GEN;SG
მეგობარი	მეგობრები	N;NOM;PL;ANIM
მეგობრობა	მეგობრობა	N;NOM;INAN;SG
მეგობრობა	მეგობრობის	N;GEN;INAN;SG
მეგობრული	მეგობრული	ADJ;INS;SG
მეზობელი	მეზობელი	N;NOM;ANIM;SG
მეზობელ-ნათესავი	მეზობელ-ნათესავები	N;NOM;PL;ANIM
მეთოდი	მეთოდების	N;PL;GEN;INAN
მელექსე	მელექსეთა	N;DAT;PL;ANIM
მეტი	მეტად	ADV
მეტი	მეტი	ADJ;NOM;SG
მეტ-ნაკლებად	მეტ-ნაკლებად	ADV
მეურნეობა	მეურნეობა	N;NOM;INAN;SG
მეურნეობა	მეურნეობის	N;GEN;INAN;SG
მეურნეობრივი	მეურნეობრივი	ADJ;GEN;SG
მეფე	მეფე	N;NOM;ANIM;SG
მეფე	მეფეთა	N;PL;GEN;ANIM
მეფე	მეფის	N;GEN;ANIM;SG
მექანიზებული	მექანიზებული	ADJ;INS;SG
მეცნიერი	მეცნიერები	N;NOM;PL;ANIM
მეცნიერული	მეცნიერულად	ADJ;FRML;SG
მეწინავე	მეწინავე	ADJ;DAT;SG
მზარდი	მზარდ	ADJ;DAT;SG
მზე	მზის	N;GEN;INAN;SG
მზე	მზით	N;INS;INAN;SG
მთა	მთის	N;GEN;INAN;SG
მთა	მთათა	N;PL;GEN;INAN
მთა	მთებით	N;INS;PL;INAN
მთავარი	მთავარი	ADJ;NOM;SG
მთავარი	უმთავრესად	ADJ;FRML;RL;SG
მთავრობა	მთავრობის	N;GEN;INAN;SG
მთავრობა	მთავრობების	N;PL;GEN;INAN
მთარგმნელი	მთარგმნელის	N;GEN;ANIM;SG
მთარგმნელი	მთარგმნელსაც	N;DAT;ANIM;SG
მთელი	მთელი	ADJ;NOM;SG
მთელი	მთელ	ADJ;DAT;SG
მთვარე	მთვარე	N;NOM;INAN;SG
მთლიანი	მთლიანი	ADJ;NOM;SG
მიაქვს	მიქონდათ	V;ARGOB3;ARGSU3P;IPFV;IND
მიბრუნებული	მიბრუნებულად	ADV
მიდის	მიდიოდნენ	V;ARGSU3P;IPFV;IND
მიზანი	მიზნის	N;GEN;INAN;SG
მიზანი	მიზნით	N;INS;INAN;SG
მიზანი	მიზან	N;DAT;INAN;SG
მიზანი	მიზნად	N;FRML;INAN;SG
მიი/ეფინება	მიჰფენოდნენ	V;ARGOB3;ARGSU3P;ACT;PFV;SBJV
მილსადენი	მილსადენი	N;NOM;INAN;SG
მიმოქცევა	მიმოქცევის	N;GEN;INAN;SG
მიმოხილვა	მიმოხილვისა	N;GEN;INAN;SG
მინისტრი	მინისტრი	N;NOM;ANIM;SG
მინისტრი	მინისტრის	N;GEN;ANIM;SG
მისაყენებელი	მისაყენებლად	ADV
მისაჩქმალავი	მისაჩქმალავად	ADV
მისი	მისი	PRO;NOM;3;SG
მიუხედავად	მიუხედავად	ADV
მიქცეული	მიქცეული	ADJ;NOM;SG
მიწა	მიწას	N;DAT;INAN;SG
მიხედვით	მიხედვით	ADV
მკითხველი	მკითხველი	N;NOM;ANIM;SG
მკითხველი	მკითხველს	N;DAT;ANIM;SG
მნახველი	მნახველს	N;DAT;ANIM;SG
მნიშვნელობა	მნიშვნელობას	N;DAT;INAN;SG
მნიშვნელობა	მნიშვნელობა	N;NOM;INAN;SG
მნიშვნელოვანი	მნიშვნელოვანი	ADJ;NOM;SG
მნიშვნელოვანი	მნიშვნელოვან	ADJ;DAT;SG
მნიშვნელოვანწილად	მნიშვნელოვანწილად	ADV
მოდის	მოდიან	V;ARGSU3P;PRS;IND
მოდის	მოდის	V;ARGSU3S;PRS;IND
მოდის	მოვა	V;ARGSU3S;FUT;IND
მოდის	მოსულა	V;ARGSU2S;IND
მოთხოვნა	მოთხოვნით	N;INS;INAN;SG
მოკლე	მოკლე	ADJ;NOM;SG
მომავალი	მომავალ	N;DAT;INAN;SG
მომავალი	მომავლის	N;GEN;INAN;SG
მონათლული	მონათლული	V;NOM;PST;V.PTCP;IND;SG
მონაწილე	მონაწილე	N;NOM;ANIM;SG
მონაწილეობა	მონაწილეობასა	N;DAT;INAN;SG
მონაწილეობს	მონაწილეობდეს	V;ARGSU3S;ACT;PRS;IND;IPFV
მონიტორინგი	მონიტორინგისა	N;GEN;INAN;SG
მოსაზრება	მოსაზრებებ	N;DAT;PL;INAN
მოსახლეობა	მოსახლეობისა	N;GEN;INAN;SG
მოსახლეობა	მოსახლეობის	N;GEN;INAN;SG
მოსწავლე	მოსწავლის	N;GEN;ANIM;SG
მოსწავლე	მოსწავლეებმა	N;PL;ERG;ANIM
მოსწავლე	მოსწავლეები	N;NOM;PL;ANIM
მოსწავლე	მოსწავლეებს	N;DAT;PL;ANIM
მოულოდნელობა	მოულოდნელობებითა	N;INS;PL;INAN
მოღვაწეობა	მოღვაწეობის	N;GEN;INAN;SG
მოძრაობა	მოძრაობა	N;NOM;INAN;SG
მოწადინე	მოწადინე	ADJ;NOM;SG
მოხელე	მოხელის	N;GEN;ANIM;SG
მოხუცი	მოხუცი	ADJ;NOM;SG
მრავალი	მრავალი	ADJ;NOM;SG
მრავალმხრივი	მრავალმხრივი	ADJ;NOM;SG
მრავალრიცხოვანი	მრავალრიცხოვან	ADJ;DAT;SG
მრავალფეროვნება	მრავალფეროვნება	N;NOM;INAN;SG
მსჯელობს	მსჯელობენ	V;ARGSU3P;ACT;PRS;IND;IPFV
მტრედი	მტრედი	N;NOM;ANIM;SG
მუდამ	მუდამ	ADV
მუშაობა	მუშაობის	N;GEN;INAN;SG
მუშაობა	მუშაობა	N;NOM;INAN;SG
მფლობელი	მფლობელებს	N;DAT;PL;ANIM
მშვიდობა	მშვიდობის	N;GEN;INAN;SG
მშობლიური	მშობლიურ	ADJ;GEN;SG
მცდელობა	მცდელობები	N;PL;OM;INAN;N
მცდელობა	მცდელობებს	N;DAT;PL;INAN
მცირე	მცირე	ADJ;GEN;SG
მცირეოდენი	მცირეოდენ	ADJ;DAT;SG
მცოდნე	მცოდნენი	N;NOM;PL;ANIM
მცხეთა	მცხეთის	PRO;SG;GEN;PN
მძაფრი	მძაფრი	ADJ;GEN;SG
მძიმე	მძიმე	ADJ;DAT;SG
მძლავრი	მძლავრი	ADJ;INS;SG
მძღოლი	მძღოლმა	N;ERG;ANIM;SG
მწერალი	მწერალი	N;NOM;ANIM;SG
მწერლობა	მწერლობის	N;GEN;INAN;SG
მწვავე	მწვავე	ADJ;NOM;SG
მხარე	მხარე	N;NOM;INAN;SG
მხარე	მხარეს	N;DAT;INAN;SG
მხარე	მხარეები	N;PL;OM;INAN;N
მხარე	მხარეებს	N;DAT;PL;INAN
მხარი	მხარ	N;DAT;INAN;SG
მხარი	მხრი	N;INS;INAN;SG
მხოლოდ	მხოლოდ	ADV
ნაგებობა	ნაგებობები	N;INS;PL;INAN
ნადირი	ნადირიც	N;NOM;ANIM;SG
ნავთობი	ნავთობის	N;GEN;INAN;SG
ნავთობსადენი	ნავთობსადენი	N;NOM;INAN;SG
ნავთობსადენი	ნავთობსადენის	N;GEN;INAN;SG
ნავსადგური	ნავსადგურები	N;PL;OM;INAN;N
ნავსადგური	ნავსადგურების	N;PL;GEN;INAN
ნათქვამი	ნათქვამის	N;GEN;INAN;SG
ნათქვამი	ნათქვამი	N;NOM;INAN;SG
ნაკლები	ნაკლებად	ADV
ნაკლებობა	ნაკლებობა	N;NOM;INAN;SG
ნამდვილი	ნამდვილ	ADJ;FRML;SG
ნამუშევარი	ნამუშევრების	N;PL;GEN;INAN
ნანახი	ნანახს	ADJ;DAT;SG
ნაშრომი	ნაშრომი	N;NOM;INAN;SG
ნაშრომი	ნაშრომებსაც	N;DAT;PL;INAN
ნაშრომი	ნაშრომებს	N;DAT;PL;INAN
ნაწარმი	ნაწარმს	N;DAT;INAN;SG
ნაწილი	ნაწილის	N;GEN;INAN;SG
ნახავს	დავინახე	V;ARGOB3;ARGSU1S;PST;ACT;PFV;IND
ნახავს	ვნახე	V;ARGOB3;ARGSU1S;PST;ACT;IND;IPFV
ნახავს	ნახა	V;ARGOB3;ARGSU3S;PST;ACT;IND;IPFV
ნახავს	ვნახეთ	V;ARGOB3;ARGSU1P;PST;ACT;IND;IPFV
ნახევარი	ნახევარ	ADJ;DAT;SG
ნება	ნების	N;GEN;INAN;SG
ნება-სურვილი	ნება-სურვილის	N;GEN;INAN;SG
ნეოლითი	ნეოლითის	N;GEN;INAN;SG
ნერვი	ნერვებს	N;DAT;PL;INAN
ნივთავს	შეუნივთა	V;ARGIO3;ARGOB3;ARGSU3S;PST;ACT;PFV;IND
ნიმუში	ნიმუში	N;NOM;INAN;SG
ნიშნავს	ნიშნავს	V;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
ობიექტური	ობიექტური	ADJ;NOM;SG
ოდისეა	ოდისეა	PRO;DAT;SG;PN
ოთახი	ოთახ	N;DAT;INAN;SG
ოპოზიცია	ოპოზიცია	N;NOM;INAN;SG
ორგანიზაცია	ორგანიზაციას	N;DAT;INAN;SG
ორგანიზაცია	ორგანიზაციები	N;PL;OM;INAN;N
ორგანო	ორგანოების	N;PL;GEN;INAN
ორდინარული	ორდინარულ	ADJ;DAT;SG
ორი	მეორე	N;NOM;UM;SG
ორი	ორ	N;DAT;UM;SG
ორი	ორი	N;INS;UM;SG
ოსტეოქონდროზი	ოსტეოქონდროზი	N;NOM;INAN;SG
ოღონდ	ოღონდ	CONJ
ოცნება	ოცნება	N;DAT;INAN;SG
პარაგრაფი	პარაგრაფ	N;DAT;INAN;SG
პარაკლისი	პარაკლისი	N;NOM;INAN;SG
პასუხი	პასუხების	N;PL;GEN;INAN
პასუხი	პასუხი	N;NOM;INAN;SG
პასუხისმგებლობა	პასუხისმგებლობის	N;GEN;INAN;SG
პატარა	პატარა	ADJ;INS;SG
პატივისცემა	პატივისცემით	N;INS;INAN;SG
პერიოდი	პერიოდა	N;FRML;INAN;SG
პირადი	პირად	ADJ;DAT;SG
პირი	პირის	N;GEN;INAN;SG
პირი	პირების	N;PL;GEN;INAN
პირი	პირებისა	N;PL;GEN;INAN
პირიქით	პირიქით	ADV
პირობა	პირობებ	N;DAT;PL;INAN
პირობა	პირობებით	N;INS;PL;INAN
პიროვნული	პიროვნულ	ADJ;DAT;SG
პლაჟი	პლაჟით	N;INS;INAN;SG
პოეტი	პოეტის	N;GEN;ANIM;SG
პოეტური	პოეტური	ADJ;NOM;SG
პოლიტიკა	პოლიტიკის	N;GEN;INAN;SG
პოლიტიკური	პოლიტიკური	ADJ;NOM;SG
პრინციპი	პრინციპების	N;PL;GEN;INAN
პრობლემა	პრობლემები	N;PL;OM;INAN;N
პრობლემა	პრობლემას	N;DAT;INAN;SG
პრობლემური	პრობლემური	ADJ;NOM;SG
პროგრამა	პროგრამებ	N;DAT;PL;INAN
პროკურატურა	პროკურატურა	N;DAT;INAN;SG
პროფესორი	პროფესორი	N;NOM;ANIM;SG
პროფესორი	პროფ	N
პროცესი	პროცესების	N;PL;GEN;INAN
პროცესი	პროცესის	N;GEN;INAN;SG
პროცესი	პროცეს	N;DAT;INAN;SG
ჟესტი	ჟესტიც	N;NOM;INAN;SG
ჟურნალი	ჟურნალ	N;NOM;INAN;SG
ჟღერადობა	ჟღერადობას	N;DAT;INAN;SG
რა	რამ	PRO;ERG;SG
რა	რაღაც	N;PRO;OM;SG
რა	რას	PRO;DAT;SG
რა	რა	PRO;DAT;SG
რა	რის	PRO;GEN;SG
რადგან	რადგან	CONJ
რაზეც	რაზეც	CONJ
რამაც	რამაც	PRO;ERG;SG
რამდენი	რამდენი	N;PRO;OM;SG
რამდენიმე	რამდენიმე	PRO;DAT;SG
რამოდენიმე	რამოდენიმე	N;PRO;OM;SG
რატომ	რატომღაც	ADV
რაშიც	რაშიც	CONJ
რაც	რაც	CONJ
რეაგირება	რეაგირების	N;GEN;INAN;SG
რევოლუცია	რევოლუციის	N;GEN;INAN;SG
რევოლუცია	რევოლუცია	N;FRML;INAN;SG
რევოლუციური	რევოლუციური	ADJ;GEN;SG
რეკომენდაცია	რეკომენდაციების	N;PL;GEN;INAN
რეკომენდაცია	რეკომენდაციებს	N;DAT;PL;INAN
რეკონსტრუქცია	რეკონსტრუქციისა	N;GEN;INAN;SG
რეპრესიული	რეპრესიულად	ADV
რესპუბლიკა	რესპუბლიკის	N;GEN;INAN;SG
რესურსი	რესურსების	N;PL;GEN;INAN
რეფორმირება	რეფორმირებისას	N;DAT;INAN;SG
რეფორმირებული	რეფორმირებული	ADJ;NOM;SG
რთული	რთული	ADJ;INS;SG
რიგი	რიგ	N;NOM;INAN;SG
რკინა	რკინის	N;GEN;INAN;SG
როგორ	როგორ	CONJ
როგორ	როგორც	CONJ
როდესაც	როდესაც	CONJ
როლი	როლს	N;DAT;INAN;SG
რომ	რომ	CONJ
რომანი	რომანი	N;NOM;INAN;SG
რომელი	რომელნიც	PRO;NOM;PL
რომელი	რომელსაც	PRO;DAT;SG
რომელი	რომელიც	N;PRO;OM;SG
რომელი	რომლითაც	PRO;INS;SG
რომელი	რომელთა	PRO;PL;GEN
რომლებიც	რომლებიც	N;PRO;OM;PL
როცა	როცა	CONJ
რუსეთი	რუსეთის	PRO;SG;GEN;PN
საათი	საათებ	N;DAT;PL;INAN
საგანგაშო	საგანგაშო	ADJ;NOM;SG
საგანგებო	საგანგებო	ADJ;GEN;SG
საგზაო	საგზაო	ADJ;NOM;SG
სად	სად	ADV
სადაც	სადაც	ADV
სადღაც	სადღაც	ADV
საერთაშორისო	საერთაშორისო	ADJ;GEN;SG
საერთო	საერთო	ADJ;DAT;SG
საერთოდ	საერთოდ	ADV
სავსე	სავსე	ADJ;NOM;SG
სავსებით	სავსებით	ADV
საზოგადოება	საზოგადოების	N;GEN;ANIM;SG
საზომი	საზომები	N;PL;OM;INAN;N
საზღვაო	საზღვაო	ADJ;FRML;SG
საზღვარგარეთ	საზღვარგარეთ	ADV
სათავე	სათავეებ	N;DAT;PL;INAN
სათქმელი	სათქმელის	N;GEN;INAN;SG
საიდუმლო	საიდუმლოდ	ADV
საიდუმლოება	საიდუმლოება	N;NOM;INAN;SG
საილუსტრაციო	საილუსტრაციოდ	ADV
საინტერესო	საინტერესო	ADJ;ERG;SG
საკითხი	საკითხებ	N;DAT;PL;INAN
საკითხი	საკითხების	N;PL;GEN;INAN
საკითხი	საკითხის	N;GEN;INAN;SG
საკითხი	საკითხი	N;NOM;INAN;SG
საკმაოდ	საკმაოდ	ADV
საკუთარი	საკუთარი	ADJ;GEN;SG
საკუთარი	საკუთარ	ADJ;DAT;SG
საკუთრება	საკუთრებას	N;DAT;INAN;SG
სამართალდამცავი	სამართალდამცავი	N;NOM;ANIM;SG
სამართალდაცვა	სამართალდაცვის	N;GEN;INAN;SG
სამართლებრივი	სამართლებრივი	ADJ;GEN;SG
სამართლიანი	სამართლიანად	ADV
სამედიცინო	სამედიცინო	ADJ;DAT;SG
სამეცნიერო-კვლევითი	სამეცნიერო-კვლევითი	ADJ;NOM;SG
სამი	სამი	N;NOM;UM;SG
სამკვიდრო	სამკვიდროს	N;DAT;INAN;SG
სამომავლო	სამომავლოდ	ADV
სამოსელი	სამოსელს	N;DAT;INAN;SG
სამოქალაქო	სამოქალაქო	ADJ;GEN;SG
სამსახური	სამსახურ	N;DAT;INAN;SG
სამუშაო	სამუშაოები	N;PL;OM;INAN;N
სამყარო	სამყარო	N;DAT;INAN;SG
სამყარო	სამყაროს	N;GEN;INAN;SG
სამშობლო	სამშობლოდ	N;FRML;INAN;SG
სამწუხარო	სამწუხაროდ	ADV
სამხედრო	სამხედრო	ADJ;DAT;SG
სანავსადგურო	სანავსადგურო	ADJ;GEN;SG
სანამ	სანამ	CONJ
სანახევრო	სანახევროდ	ADV
სანდოობა	სანდოობა	N;NOM;INAN;SG
საოცარი	საოცარ	ADJ;DAT;SG
სარგებლობა	სარგებლობა	N;NOM;INAN;SG
სარისკო	სარისკო	ADJ;NOM;SG
სასამართლო	სასამართლო	N;NOM;INAN;SG
სასეირო	სასეირო	ADJ;DAT;SG
სასიცოცხლო	სასიცოცხლო	ADJ;GEN;SG
სასწავლებელი	სასწავლებლებისა	N;PL;GEN;INAN
სასწავლებელი	სასწავლებლებ	N;DAT;PL;INAN
სასწაული	სასწაულს	N;DAT;INAN;SG
სატვირთო	სატვირთო	ADJ;NOM;SG
საუბარი	საუბარი	N;NOM;INAN;SG
საუცხოო	საუცხოო	ADJ;INS;SG
საფუძველი	საფუძველი	N;NOM;INAN;SG
საფუძველი	საფუძველ	N;DAT;INAN;SG
საქართველო	საქართველოს	PRO;SG;GEN;PN
საქართველო	საქართველო	PRO;DAT;SG;PN
საქმე	საქმე	N;NOM;INAN;SG
საქმე	საქმეებსა	N;DAT;PL;INAN
საქმიანობა	საქმიანობის	N;GEN;INAN;SG
საყდარი	საყდარი	N;NOM;INAN;SG
საყოველთაო	საყოველთაოდ	ADV
საყურადღებო	საყურადღებო	ADJ;DAT;SG
საშინელება	საშინელება	N;DAT;INAN;SG
საშინელი	საშინლად	ADJ;FRML;SG
საშიში	საშიშ	ADJ;FRML;SG
საშუალება	საშუალებას	N;DAT;INAN;SG
საშუალო	საშუალო	ADJ;GEN;SG
საჩივარი	საჩივრებ	N;DAT;PL;INAN
საჩინო	საჩინო	ADJ;NOM;SG
საწყისი	საწყისის	ADJ;GEN;SG
საჭირო	საჭირო	ADJ;NOM;SG
სახავს	ისახავს	V;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
სახალხო	სახალხო	ADJ;NOM;SG
სახე	სახეებს	N;DAT;PL;INAN
სახე	სახეს	N;DAT;INAN;SG
სახედარი	სახედრების	N;PL;GEN;ANIM
სახელმძღვანელო	სახელმძღვანელოს	N;GEN;INAN;SG
სახელმწიფო	სახელმწიფოს	N;GEN;INAN;SG
სახელმწიფო	სახელმწიფო	ADJ;GEN;SG
სახეობრივ-მეტაფორული	სახეობრივ-მეტაფორული	ADJ;NOM;SG
სახლი	სახლის	N;GEN;INAN;SG
სახლი	სახლ	N;DAT;INAN;SG
სახსარი	სახსრების	N;PL;GEN;INAN
საჯარო	საჯარო	ADJ;GEN;SG
სდევს	მოსდევდა	V;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
სერიოზული	სერიოზულ	ADJ;DAT;SG
სექტორი	სექტორის	N;GEN;INAN;SG
სიგრძე	სიგრძე	N;NOM;INAN;SG
სივრცე	სივრცეს	N;DAT;INAN;SG
სიზმარი	სიზმარ	N;DAT;INAN;SG
სილამაზე	სილამაზე	N;DAT;INAN;SG
სიმართლე	სიმართლის	N;GEN;INAN;SG
სიმაღლე	სიმაღლი	N;INS;INAN;SG
სიმსივნე	სიმსივნე	N;NOM;INAN;SG
სიმშვიდე	სიმშვიდეს	N;DAT;INAN;SG
სიმძაფრე	სიმძაფრე	N;NOM;INAN;SG
სინათლე	სინათლე	N;NOM;INAN;SG
სირიული	სირიულ	ADJ;DAT;SG
სისტემა	სისტემის	N;GEN;INAN;SG
სისხლი	სისხლის	N;GEN;INAN;SG
სიტუაცია	სიტუაცია	N;NOM;INAN;SG
სიტყვა	სიტყვები	N;PL;OM;INAN;N
